1,10000,HOMICIDE
2,21000,RAPE -- FORCIBLE
2,23000,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST
3,31111,ROBBERY-HIGHWAY/FIREARM USED/SUCCESSFUL
3,31112,ROBBERY-HIGHWAY/FIREARM USED/ATTEMPT
3,31211,ROBBERY-HIGHWAY/KNIFE USED/SUCCESSFUL
3,31212,ROBBERY-HIGHWAY/KNIFE USED/ATTEMPT
3,31311,ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL
3,31312,ROBBERY-HIGHWAY/OTHR WEPN USED/ATTEMPT
3,31412,ROBBERY-HIGHWAY/STRNGARM/INJURY/ATTEMPT
3,31421,ROBBERY-HIGHWAY/STRNGARM/NO INJ/SUCCESS
3,31422,ROBBERY-HIGHWAY/STRNGARM/NO INJ/ATTEMPT
3,32111,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL
3,32112,ROBBERY-RESIDENCE/FIREARM USED/ATTEMPT
3,32211,ROBBERY-RESIDENCE/KNIFE USED/SUCCESSFUL
3,32212,ROBBERY-RESIDENCE/KNIFE USED/ATTEMPT
3,32311,ROBBERY-RESIDENCE/OTHR WEPN USED/SUCCESS
3,32421,ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS
3,33111,ROBBERY-BANK/FIREARM USED/SUCCESSFUL
3,33422,ROBBERY-BANK/STRNGARM/NO INJ/ATTEMPT
3,34111,ROBBERY-CONVEN STOR/FIREARM USED/SUCCESS
3,34421,ROBBERY-CONVEN STOR/STRNGARM/NO INJ/SUCCESS
3,35111,ROBBERY-GAS STA/FIREARM USED/SUCCESSFUL
3,35421,ROBBERY-GAS STA/STRNGARM/NO INJ/SUCCESS
3,36111,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS
3,36112,ROBBERY-COMMERCE PL/FIREARM USED/ATTEMPT
3,36311,ROBBERY-COMMERCE PL/OTHR WEP USED/SUCCESS
3,36421,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS
3,36422,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS
4,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
4,41012,AGG.ASSAULT-FIREARM/CITIZEN ADULT 2ND DEGREE
4,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE
4,41014,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC
4,41015,ASSLT-AGGRAV-FIREARM-2ND-ADULT-DOMESTIC
4,41016,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC
4,41021,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE
4,41023,AGG.ASSAULT-FIREARM/CITIZEN CHILD 3RD DEGREE
4,41024,ASSLT-AGGRAV-FIREARM-1ST-CHILD-DOMESTIC
4,41026,ASSLT-AGGRAV-FIREARM-3RD-CHILD-DOMESTIC
4,41201,AGG.ASSAULT-FIREARM/POLC.OFFICER 1ST DEGREE
4,41203,AGG.ASSAULT-FIREARM/POLC.OFFICER 3RD DEGREE
4,42011,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE
4,42012,AGG.ASSAULT-KNIFE/CITIZEN ADULT 2ND DEGREE
4,42013,AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE
4,42014,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC
4,42015,ASSLT-AGGRV-KNIFE/CUT-2ND-ADULT-DOMESTIC
4,42016,ASSLT-AGGRV-KNIFE/CUT-3RD-ADULT-DOMESTIC
4,42021,AGG.ASSAULT-KNIFE/CITIZEN CHILD 1ST DEGREE
